,_id,consommation_energie,classe_consommation_energie,estimation_ges,surface_thermique_lot,classe_estimation_ges,annee_construction,tr002_type_batiment_description,code_insee_commune_actualise,geo_adresse,consommation_surface_ratio
7894,mg5eJnv2xVGTJ8WoGHLSL,355.05,6.0,88.1,97.0,7.0,1982.0,Maison Individuelle,24516,les Garrigues 24590 Salignac-Eyvigues,3.660309278350516
7899,E-49Z-sC0LoESl2i-tN7c,188.2,4.0,37.92,115.08,5.0,1972.0,Maison Individuelle,29019,1 rue Jos Parker 29200 Brest,1.635384080639555
7903,YDFVAX438K-usgd7u_AU7,228.78,4.0,7.45,22.12,2.0,1947.0,Logement,31555,165 Grande-Rue Saint Michel 31400 Toulouse,10.342676311030742
7907,sNJfh2Luyn2woxZD4BP8D,94.0,3.0,28.0,139.0,4.0,2006.0,Maison Individuelle,35360,7 Impasse des Oiseaux 35500 Vitré,0.6762589928057554
7909,DEU1K1AZaiENLDNYNlok5,203.94,4.0,8.81,55.26,2.0,2008.0,Logement,37214,135 Boulevard Charles de Gaulle 37540 Saint-Cyr-sur-Loire,3.690553745928339
7911,uHthOflRScLZd4tW2tf74,326.97,5.0,98.09,95.0,7.0,1970.0,Maison Individuelle,39220,9 Rue du Temple 39700 Falletans,3.441789473684211
7915,EaB5AmS7svBqB4OjvOjGe,116.0,3.0,27.0,128.0,4.0,2011.0,Maison Individuelle,43268,Rue des Gentianes 43200 Yssingeaux,0.90625
7919,-0ngcEzCUAVTw8vNIXV-A,337.53,6.0,78.98,130.7,6.0,1974.0,Logement,47001,Rue du Maréchal Lannes 47000 Agen,2.58247895944912
7921,MGIQwjgIHfJAyDLhqGGwy,143.0,3.0,24.0,135.0,4.0,2005.0,Maison Individuelle,49007,15 Rue Dainville 49000 Angers,1.0592592592592593
7924,CHAHg8Jg02iqpX6VMA5Yo,352.96,6.0,11.49,46.0,3.0,1974.0,Maison Individuelle,52121,24 Rue de la Tour Mongeard 52000 Chaumont,7.673043478260869
7927,NsH_wUgigfgN9p2PcHfyO,211.0,4.0,57.0,106.0,6.0,1948.0,Maison Individuelle,55366,26 Rue Haute 55000 Val-d'Ornain,1.990566037735849
7928,XBTVNj-eJKGek5JZ0WWxF,316.01,5.0,18.97,85.0,3.0,2005.0,Maison Individuelle,56241,Borgroix 56360 Sauzon,3.717764705882353
7929,6wIXNruDp2TPHjfiErE1p,101.01,3.0,30.3,130.17,4.0,2002.0,Maison Individuelle,57655,39 Rue de la Louvière 57420 Solgne,0.7759852500576171
7930,iovVA3tndojgBTmry8ccq,164.0,4.0,49.0,95.6,5.0,1974.0,Maison Individuelle,58282,14 Rue Landon 58500 Surgy,1.7154811715481173
7931,apkstPHzlUz_RSODzfxJ1,201.25,4.0,36.27,103.0,5.0,2007.0,Maison Individuelle,59388,176 Rue Ronny Coutteure 59274 Marquillies,1.953883495145631
7936,ZYT-obzVIJHop7U3IZPSD,243.65,5.0,13.35,129.66,3.0,1983.0,Maison Individuelle,64037,1 Impasse Arc En Ciel 64230 Arbus,1.8791454573499924
7938,EbXIleBsv7yi5MEhFzpn7,180.41,4.0,8.85,102.0,2.0,1987.0,Maison Individuelle,66227,3 Rue Joan Cayrol 66180 Villeneuve-de-la-Raho,1.7687254901960785
7939,oaUrD0JU9PztAM7vvwOuz,129.0,3.0,30.0,83.0,4.0,2006.0,Logement,67117,3 Moulin de Champagne 67700 Eckartswiller,1.5542168674698795
7940,y2HKShtUGnUEFVn70fRxx,136.87,3.0,32.02,126.0,4.0,2003.0,Maison Individuelle,68286,Rue du Canal 68128 Rosenau,1.0862698412698413
7945,lGB5V3SKDKxyNIdFXZtsj,143.33,3.0,33.54,78.5,4.0,2002.0,Logement,73008,Avenue marie de solms 73100 Aix-les-Bains,1.8258598726114652
7947,AjF10zHtAdS9An_9NqK9N,328.0,5.0,76.0,36.0,6.0,1947.0,Logement,75116,106 Rue de la Tour 75016 Paris,9.11111111111111
7948,cabuNjGc4gu3aVM8u3m3m,231.81,5.0,50.06,124.0,5.0,1974.0,Maison Individuelle,76616,11 Hameau d'Énitot 76290 Saint-Martin-du-Manoir,1.8694354838709677
7950,n3hKSzfmYUvOusmC05o2l,306.0,5.0,16.0,50.2,3.0,1989.0,Logement,78120,rue les grands pres 78830 Bullion,6.095617529880478
7955,o_vavpoXzXpm_mKWNJEjP,121.0,3.0,4.0,104.0,1.0,1989.0,Maison Individuelle,83140,Chemin de Canfier 83170 Tourves,1.1634615384615385
7956,t4H7qpPsk8XxkaST8Drb0,193.79,4.0,45.35,89.0,5.0,1900.0,Maison Individuelle,84141,104 Rue des Frères Lumière 84270 Vedène,2.1774157303370787
7958,C9dj-_3k8X-Pnko0MYw8d,196.0,4.0,26.0,60.04,4.0,1989.0,Logement,86180,15 Rue du Marchais 86340 Nouaillé-Maupertuis,3.2644903397734844
7960,3vOa8UGs6a1967ND6FADK,353.0,6.0,82.0,66.87,7.0,1948.0,Maison Individuelle,88220,Rue de l'Eglise 88410 Grignoncourt,5.278899356961268
7962,2oSzF92nkI7Na-EGRITg_,165.67,4.0,33.86,150.0,4.0,1979.0,Maison Individuelle,90004,Rue des Carrières 90800 Argiésans,1.1044666666666665
7963,rwIotJzTOkG_dvO-xvvZ_,304.5,5.0,15.0,44.52,3.0,2009.0,Logement,91333,3 Impasse des Lilas 91310 Leuville-sur-Orge,6.839622641509433
7975,kiOsd-JnNf0nTHzvrhbdD,154.36,4.0,23.31,75.0,4.0,1974.0,Logement,08409,8 Avenue Charles de Gaulle 08200 Sedan,2.0581333333333336
7978,abUF4QUfFpOfkazHl1_oK,499.0,7.0,44.0,60.35,5.0,1948.0,Maison Individuelle,11170,11 Rue du Poisson Rouge 11430 Gruissan,8.268434134217067
7981,AMqi-V0IKdSy0kPmKSa54,211.72,4.0,6.89,210.0,2.0,1948.0,Maison Individuelle,14676,26 Rue de Chédeville 14400 Sommervieu,1.008190476190476
7985,B5n5BN55Rp1jfUlSoRiCl,431.5,6.0,24.95,69.6,4.0,1960.0,Maison Individuelle,18255,11 Rue du Bois Rollet 18570 Le Subdray,6.199712643678161
7987,UE9aj0-UGwuRKp8qmZ58c,154.39,4.0,23.62,53.94,4.0,1974.0,Logement,21515,1 Rue Pasteur 21800 Quetigny,2.8622543566926213
7990,Px0tMtfeEydHHdxKhcUxV,236.85,5.0,69.87,82.0,6.0,1948.0,Maison Individuelle,24381,Lacourarie 24360 Saint-Barthélemy-de-Bussière,2.8884146341463413
7995,B9DozZVU8Xjig3cFVKqoX,317.32,5.0,17.94,89.28,3.0,2006.0,Maison Individuelle,29016,Le Bourg 29190 Brasparts,3.55421146953405
7997,PVzrqLr4zFQwH3GpmkA2i,284.87,5.0,15.99,119.23,3.0,1980.0,Maison Individuelle,20029,Lieu Dit Padulella 20253 Barbaggio,2.3892476725656295
7999,ubD-4w6a720AJ-avtflBo,296.59,5.0,15.16,49.85,3.0,1985.0,Logement,31555,116 Rue de Cugnaux 31300 Toulouse,5.9496489468405205
8001,spVX4RZheHgS3hRvqYcwO,140.96,3.0,32.98,47.61,4.0,1971.0,Logement,33009,65 Boulevard de la Plage 33120 Arcachon,2.960722537282084
8002,cqsNUcjcOxgovxB0Y9Ic0,173.37,4.0,41.44,58.0,5.0,1988.0,Logement,34172,13 Esplanade de L'Europe 34000 Montpellier,2.9891379310344828
8005,EeyDYnpKGU54t9rqHBFwz,147.41,3.0,6.92,132.25,2.0,2006.0,Maison Individuelle,37149,lieu dit goulevent 37370 Marray,1.1146313799621927
8006,z8dvUwUpLJ9UaF2yaGfyr,334.0,6.0,82.0,185.0,7.0,1947.0,Maison Individuelle,38490,Route de Plan 38590 Sillans,1.8054054054054054
8007,eUS95k5UDrPQqGxR8Pg1T,356.99,6.0,137.08,190.52,7.0,1974.0,Maison Individuelle,39526,8 Rue Rouget de Lisle 39500 Tavaux,1.8737665336972495
8008,IJQwAQ0aSgjYP2-a-nLiS,198.88,4.0,8.72,70.3,2.0,2006.0,Maison Individuelle,40279,1007 Rue Gilbert Lahillade 40990 Saint-Paul-lès-Dax,2.829018492176387
8009,JzCrG_VeBnOmUiI_4sRgp,183.41,4.0,42.92,176.28,5.0,1850.0,Maison Individuelle,41104,276 Route de Chambord 41350 Huisseau-sur-Cosson,1.0404470161107329
8013,d1K6Oan0NRSxGGkyIH-Kv,225.18,4.0,29.56,250.0,4.0,1970.0,Maison Individuelle,45286,15ter Route de Saint-Cyr-en-Val 45650 Saint-Jean-le-Blanc,0.9007200000000001
8014,_Pe5KeUHCEr3fAWvL4ZOM,504.0,7.0,29.0,41.0,4.0,1974.0,Logement,46225,20 Avenue du Colonel Pardes 46220 Prayssac,12.292682926829269
8017,fIvJUC3pDqxH3WpXURN2n,302.68,5.0,16.85,87.0,3.0,1987.0,Maison Individuelle,49019,5 Rue des Mimosas 49800 Loire-Authion,3.479080459770115
8020,PnWGfLEas4_QyccgVY8L_,193.0,4.0,46.0,230.0,5.0,1947.0,Maison Individuelle,52130,4 Place de la Mairie 52370 Cirfontaines-en-Azois,0.8391304347826087
8021,c3TBw7tdeheLrUc42s7rm,448.75,6.0,14.61,109.0,3.0,1948.0,Maison Individuelle,53123,la Basse Abbaye 53380 Juvigné,4.11697247706422
8028,ciTK3v0ASwc5mtnPUUpLp,204.0,4.0,11.0,118.82,3.0,2006.0,Maison Individuelle,60320,Rue de la Picardie 60141 Ivors,1.716882679683555
8030,-sbVEO09Ka_7-wdliphqZ,379.01,6.0,78.03,102.2,6.0,1930.0,Maison Individuelle,62479,201 Rue Paul Vaillant Couturier 62122 Labeuvrière,3.7085127201565555
8031,fHYd327dkfvozMpwRZ34X,215.0,4.0,36.0,95.0,5.0,1947.0,Maison Individuelle,63910,Place de la Résistance (Parc) Caen,2.263157894736842
8034,i2oVC9sG5xg0zwN9vsfKd,211.18,4.0,10.71,96.0,2.0,1976.0,Maison Individuelle,66210,4 Rue Marcel Pagnol 66300 Thuir,2.1997916666666666
8035,GCTyfh-6QTxQFrx9Ncr-4,354.9,6.0,70.96,154.6,6.0,1960.0,Maison Individuelle,67054,3 Rue de la Mayenne 67150 Bolsenheim,2.295601552393273
8036,AaAmfu5fgcqYPZMekjF9u,353.0,6.0,11.0,105.0,3.0,1947.0,Maison Individuelle,68220,24 Rue du Gersbach 68640 Muespach,3.361904761904762
8037,DmSHkDi9qujUtx_JL1PaY,183.84,4.0,30.01,117.46,4.0,1962.0,Logement,69123,119 Cours Albert Thomas 69003 Lyon,1.5651285544014986
8038,lR80pUtFIn1U6W_oW32J8,214.49,4.0,50.19,69.4,5.0,1947.0,Logement,70285,36 Rue de Lattre de Tassigny 70400 Héricourt,3.0906340057636887
8041,IdcKnCDRgzwjwUbJ62jT8,261.0,5.0,13.0,103.05,3.0,2004.0,Maison Individuelle,73285,2 Rue des verneys 73700 Séez,2.532751091703057
8044,E0ouwVMQ-BwA1go81ZJfh,272.03,5.0,13.95,76.5,3.0,2005.0,Maison Individuelle,76280,4b Rue des Patures 76660 Fréauville,3.5559477124183
8051,fc4pJzKOd7q-5R4fwisMr,118.17,3.0,18.54,40.26,3.0,1995.0,Logement,83017,Chemin de l’Escride 83210 Belgentier,2.935171385991058
8052,Sb-tt9Gj2SK-ENp04yVwG,143.34,3.0,4.67,52.0,1.0,1900.0,Logement,84007,23 Rue des Teinturiers 84000 Avignon,2.7565384615384616
8053,_zwnIKScMRIgVr6xn8GW1,146.07,3.0,34.18,89.64,4.0,1987.0,Maison Individuelle,85191,15 Rue de cacères 85000 La Roche-sur-Yon,1.6295180722891565
8054,fP-ITxUT6Wl89VTwyC9KS,194.0,4.0,28.0,73.66,4.0,1989.0,Logement,86180,15 Rue des Grands Champs 86340 Nouaillé-Maupertuis,2.633722508824328
8055,meVZU7Rz59xBEaZ4T7A3i,143.32,3.0,32.96,68.0,4.0,1974.0,Maison Individuelle,87085,34 avenue Président Auriol 87100 Limoges,2.107647058823529
8056,WUC6ewLPJS-Uil_wGHUfn,312.0,5.0,74.0,91.0,6.0,1960.0,Maison Individuelle,88321,5 Rue de la Maison Dieu 88300 Neufchâteau,3.4285714285714284
8059,7WOreE7Q7mSWtTTiAkOUX,273.33,5.0,63.96,320.0,6.0,1977.0,Maison Individuelle,91079,17 Rue de la République 91690 Boissy-la-Rivière,0.85415625
8061,bYM9u-fB_GSCgoqqwdVkN,196.04,4.0,45.87,89.0,5.0,1982.0,Maison Individuelle,93047,71bis Rue du Général de Gaulle 93370 Montfermeil,2.202696629213483
8062,OxEUnw-z9gAVNoZc4fPOl,229.53,4.0,53.71,57.0,5.0,1970.0,Logement,94081,45 Rue Eugene Derrien 94400 Vitry-sur-Seine,4.026842105263158
8063,1B6Xi_RxZ1QsJgwpU3yk5,360.12,6.0,84.27,65.6,7.0,1974.0,Maison Individuelle,95018,191 Avenue du Marechal Joffre 95100 Argenteuil,5.489634146341464
8064,c5M_20RMyfF_ZdkDvTEbz,438.0,6.0,26.0,100.0,4.0,1978.0,Maison Individuelle,01250,Impasse des Bleuets 01600 Misérieux,4.38
8067,ssC3MNNgxI1tJNYnOHKFE,120.0,3.0,28.0,150.88,4.0,2003.0,Maison Individuelle,04300,Chemin du Roucas Pélissanne,0.7953340402969248
8073,gcAoRh8h7rwG-SWFimLhN,330.0,5.0,18.0,80.0,3.0,1948.0,Maison Individuelle,10210,5 Rue Frémine 10150 Luyères,4.125
8077,iW5P-un_5-dKjADHW-qq6,315.5,5.0,17.4,82.0,3.0,1974.0,Maison Individuelle,14099,Le Bourg 14170 Saint-Pierre-en-Auge,3.847560975609756
8079,dcFFR3vzRYfKHuL_eRc0H,113.34,3.0,31.05,282.0,4.0,1974.0,Maison Individuelle,16335,Rue de la Mare 16700 Saint-Martin-du-Clocher,0.40191489361702126
8080,PvkDK_zra6OFRHHG2P0a_,405.62,6.0,24.23,87.0,4.0,1973.0,Maison Individuelle,17434,4 Rue Pierre et Marie Curie 17700 Surgères,4.662298850574713
8081,VaBeSrutoLxWhmigzv9a5,105.32,3.0,31.6,142.0,4.0,1947.0,Maison Individuelle,18082,19 Rue des Ecoles 18150 Cuffy,0.7416901408450703
8083,Ha0Q23orDye3zuWqgbQZc,335.0,6.0,11.0,120.0,3.0,1974.0,Maison Individuelle,21408,9 Rue du Val Suzon 21380 Messigny-et-Vantoux,2.7916666666666665
8084,7tOiU-0Yw9kfsfDTpdtf3,278.0,5.0,15.0,50.0,3.0,1948.0,Maison Individuelle,22340,7 Rue Pont Ar Groas 22140 Tonquédec,5.56
8086,YGYHKD9j6fsSRwcDiJJ0I,377.99,6.0,113.4,70.0,7.0,1974.0,Maison Individuelle,24328,13 Rue des Champs Fleuris 24360 Piégut-Pluviers,5.399857142857143
8087,PPPTzG_3fwNIZYz6u804K,362.0,6.0,97.0,165.0,7.0,1948.0,Maison Individuelle,25140,1 Rue de la Scie 25340 Pays-de-Clerval,2.193939393939394
8089,n5-2qbPg0AmxaJax_j0yl,709.26,7.0,44.77,77.56,5.0,1960.0,Maison Individuelle,27039,Rue du Village 27310 Barneville-sur-Seine,9.144662197008767
8090,tqBC2iCUdWdxCh8CBS-n8,318.06,5.0,95.42,73.27,7.0,1974.0,Maison Individuelle,28198,6 Rue des Bordes 28200 Jallans,4.340930803876075
8092,3SKRu_oO3ADF2PPjtbQwB,379.66,6.0,113.9,75.0,7.0,1974.0,Maison Individuelle,2A130,Lieu Dit Prete Natale 20166 Grosseto-Prugna,5.062133333333334
8094,j3QBkFjA5Q1QlR90H0clx,263.35,5.0,12.0,34.0,3.0,1980.0,Logement,30351,16 Avenue Gabriel Peri 30400 Villeneuve-lès-Avignon,7.745588235294118
8095,TVRR_W-Yhq8RwrIUAt_xK,106.71,3.0,20.1,144.3,3.0,2004.0,Maison Individuelle,31227,1 Rue du Belvédère 31120 Goyrans,0.7395010395010394
8098,clZzku0yRJIRfjpn_H-oo,368.26,6.0,18.83,30.15,3.0,1989.0,Maison Individuelle,34344,161 Allee du Green 34280 La Grande-Motte,12.214262023217247
8099,VSikWcqwi0Ib6vYCdDutm,221.87,4.0,10.0,48.0,2.0,2008.0,Logement,35051,3 Rue des Myosotis 35510 Cesson-Sévigné,4.6222916666666665
8101,u8EsP8Uar_QmIHehcxj5T,123.8,3.0,2.36,150.6,1.0,2011.0,Maison Individuelle,37020,11 Rue des Morins 37600 Beaulieu-lès-Loches,0.8220451527224436
8103,JsW2P9Qm-y9RyGyq7TG61,276.54,5.0,52.27,149.41,5.0,1969.0,Maison Individuelle,39300,20 Rue Hector Berlioz 39000 Lons-le-Saunier,1.850880128505455
8104,8FtMIEonHvi1suthY-vVD,194.91,4.0,8.72,109.0,2.0,2005.0,Maison Individuelle,40046,102 Allée Claude Debussy 40600 Biscarrosse,1.7881651376146788
8107,OQzAdkAI5vvOMDTdu6NHK,165.46,4.0,38.16,136.0,5.0,2006.0,Maison Individuelle,43051,Chemin de Chantegrenouille 43400 Le Chambon-sur-Lignon,1.2166176470588237
8109,bhdyqTp37qrCL45JN5jWE,511.17,7.0,119.61,29.6,7.0,1975.0,Logement,45286,79 Route de Sandillon 45650 Saint-Jean-le-Blanc,17.269256756756757
8110,VaeXj4NlazIGeQyGEtTRU,45.74,1.0,10.7,110.0,2.0,1850.0,Maison Individuelle,46007,Chemin des Assises 46090 Arcambal,0.4158181818181818
8113,162Kg0YxQjOz8ZTj5xRLA,348.66,6.0,18.84,63.21,3.0,1988.0,Maison Individuelle,49224,5ter Allée des Marronniers 49680 Neuillé,5.5158993830090175
8114,gIJUFCHgoZKWVZ0Gpv7gw,176.35,4.0,36.99,130.0,5.0,1948.0,Maison Individuelle,50509,13 Rue du Général Eisenhower 50480 Sainte-Marie-du-Mont,1.3565384615384615
8116,LbQGyKjwkAMMlIEdl2uIo,173.0,4.0,7.0,195.0,2.0,1948.0,Maison Individuelle,52200,Promenade Marius Véchambre (Pont) Langres,0.8871794871794871
8117,AmcFQmonspOR6Gfq263CI,289.96,5.0,73.7,193.12,6.0,1948.0,Maison Individuelle,53003,1 Rue de la Croix Verte 53300 Ambrières-les-Vallées,1.5014498757249377
8118,Nn1prrTDI5XxicIJDoI51,170.0,4.0,39.0,190.0,5.0,1948.0,Maison Individuelle,54600,24 Grande Rue 54370 Xousse,0.8947368421052632
8120,qX8ojVXHKZcOp_zLCyjtJ,307.84,5.0,18.69,102.0,3.0,1974.0,Maison Individuelle,56152,Roserieres 56360 Le Palais,3.018039215686274
8121,nkchvyx94lH4ZdoWIEqRN,232.0,5.0,54.0,64.89,5.0,1948.0,Logement,57290,Route de Chateau-Salins 57170 Hampont,3.575281245184158
8122,pI6sbxzJMGt1hT7fP6IAb,325.0,5.0,76.0,73.53,6.0,1974.0,Maison Individuelle,58086,34 Rue Général Binot 58200 Cosne-Cours-sur-Loire,4.419964640282878
8123,apJfpVAuz0mCgNDCpNI9P,106.0,3.0,24.0,146.0,4.0,2006.0,Maison Individuelle,59310,Rue des Fonds 59570 Hon-Hergies,0.726027397260274
8124,6rWJoXroRj5rxyB8cM7YR,183.18,4.0,26.95,178.0,4.0,1997.0,Maison Individuelle,60005,Rue de la Libération 60620 Acy-en-Multien,1.0291011235955057
8125,wzPxfR_HCbcPQoPkHjohN,304.98,5.0,91.49,75.62,7.0,1970.0,Maison Individuelle,61022,3 Impasse Foulon 61140 Bagnoles de l'Orne Normandie,4.033060037027242
8126,mYyyjvRBx3hRrPUcHW0Dz,295.29,5.0,58.0,311.0,6.0,1940.0,Maison Individuelle,62338,Rue Robert Diers 62840 Fleurbaix,0.9494855305466239
8129,tSDBcx2LhMk4ks_7Wq2kZ,174.41,4.0,40.81,102.46,5.0,1935.0,Maison Individuelle,65440,40 Rue du Maquis de Payolle 65000 Tarbes,1.702225258637517
8130,tT_U7qSscrEUUPcaxPCvn,213.83,4.0,7.62,118.5,2.0,1987.0,Maison Individuelle,66230,4 Allees Arago 66320 Vinça,1.8044725738396625
8131,gZIoW_Vk5noVL6qtcIEPB,162.0,4.0,38.0,94.48,5.0,2006.0,Logement,67202,Rue du Moulin 67270 Hochfelden,1.714648602878916
8135,WUa_WR_hYyHYhngiaLvgl,160.0,4.0,37.0,140.0,5.0,1947.0,Maison Individuelle,71190,rue du gué de champy 71360 Épinac,1.1428571428571428
8139,rEoXZITJie4IK7L5fQod4,387.77,6.0,54.21,40.95,5.0,1930.0,Logement,75056,4 Rue de Rungis 75013 Paris,9.469352869352868
8140,jFaP3jCfh0Ma2zuvpjBSr,272.94,5.0,47.44,105.0,5.0,1974.0,Maison Individuelle,76750,26 Rue Ampere 76480 Yainville,2.599428571428571
8141,RtnkwjWgIWRwAAIEexRRV,279.62,5.0,11.73,21.81,3.0,1988.0,Logement,77053,7 Rue de la Grenouillere 77170 Brie-Comte-Robert,12.820724438331041
8146,AlS_XWJ3Gcn0LdhgTF3o-,188.23,4.0,3.65,108.0,1.0,2010.0,Maison Individuelle,82190,Rue des Najats 82600 Verdun-sur-Garonne,1.7428703703703703
8147,bQ_EiKtsPT54LNvpDqc-T,269.0,5.0,11.0,88.0,3.0,1975.0,Maison Individuelle,83149,Chemin de Barbebelle 83690 Villecroze,3.0568181818181817
8150,NTfZI2RObgayeNMVa0uuz,220.87,4.0,25.84,79.79,4.0,1967.0,Logement,86027,Rue Europa 86580 Biard,2.768141371099135
8153,VF9LJmysG1Vl7fsrmSg7x,334.0,6.0,10.0,134.0,2.0,1947.0,Maison Individuelle,89440,15 Rue des Blins 89330 Verlin,2.4925373134328357
8154,lrlmaWTEX8D2oFyfMzY7z,292.15,5.0,87.64,170.0,7.0,1960.0,Maison Individuelle,90053,11 Rue des Versennes 90600 Grandvillars,1.7185294117647056
8156,Im-gUbrTibwkxdz8L9cRC,317.28,5.0,74.24,50.59,6.0,1974.0,Logement,92002,1 Impasse des Pinsons 92160 Antony,6.271595176912433
8158,klX1E3k7e0BT35fKk_MmS,250.2,5.0,71.78,54.71,6.0,1974.0,Logement,94076,64 Rue Emile Zola 94800 Villejuif,4.5732041674282575
8160,4lkPhlQbTEEjn-okHmOk3,180.0,4.0,9.0,74.0,2.0,1948.0,Logement,01360,238 Route de Roulave 01630 Saint-Jean-de-Gonville,2.4324324324324325
8162,UZLk_t7O4JcGgWzAquhVa,350.33,6.0,81.98,85.76,7.0,1940.0,Maison Individuelle,03315,1 Clos de la Pepiniere 03430 Villefranche-d'Allier,4.085004664179104
8167,wkWOMJq5lp0RGNAzmv2G0,104.0,3.0,24.0,147.0,4.0,1974.0,Maison Individuelle,08067,8 Rue du Centre 08110 Blagny,0.7074829931972789
8169,xkW-1GGZ2Cciv9YMKZ2X8,340.07,6.0,51.89,46.0,5.0,1800.0,Maison Individuelle,10387,33 Rue de la Basse Moline 10000 Troyes,7.392826086956521
8172,RAlb-wYEA0nJQd00ogzsa,310.0,5.0,85.0,66.0,7.0,1948.0,Maison Individuelle,13480,Chemin du Vieux Puits Anneyron,4.696969696969697
8176,-Upacihn9o2vekqU1QMkl,412.08,6.0,100.4,82.0,7.0,1960.0,Maison Individuelle,17300,27 Rue de Soissons 17000 La Rochelle,5.025365853658537
8179,x9Mid7l1KPBXpin-tGqWU,127.56,3.0,29.85,77.0,4.0,2006.0,Logement,21054,6 Avenue de la Résistance 21200 Beaune,1.6566233766233767
8180,LWR_NEpnn0cKinxhzeFxn,128.01,3.0,29.95,74.0,4.0,1950.0,Maison Individuelle,22183,31 Rue du 6 Août 22210 Plémet,1.7298648648648647
8182,Syi2R09zoIZ_AI1s9JUiB,680.01,7.0,22.14,51.0,4.0,1948.0,Maison Individuelle,24495,la Nauze 24540 Saint-Romain-de-Monpazier,13.333529411764706
8183,-sSN-iyBvGzyIj6NRNd27,218.0,4.0,51.0,130.0,5.0,1971.0,Maison Individuelle,25368,24 Rue des Roses 25640 Marchaux-Chaudefontaine,1.676923076923077
8186,RhvDl5AUlcZuX2yt88KHj,260.0,5.0,78.0,93.76,6.0,1948.0,Maison Individuelle,28330,10 Rue de la Frileuse 28200 Villemaury,2.773037542662116
8189,zPllUfCuMo6htxdtnr3xw,328.37,5.0,15.86,32.8,3.0,1976.0,Logement,20298,Rue du Cisternino 20217 Saint-Florent,10.011280487804878
8190,aJ0jCSoNJDDjtjPw8E9gA,168.71,4.0,7.17,90.0,2.0,1982.0,Maison Individuelle,30258,359 Route de Beaucaire 30800 Saint-Gilles,1.8745555555555558
8192,TgYsRXBDDtgfBu6TQTK1d,141.36,3.0,30.87,120.0,4.0,1997.0,Maison Individuelle,32340,Route de la Herrane 32800 Réans,1.1780000000000002
8194,VnW1QhWkqGuR8JVvBrSjJ,105.04,3.0,6.08,148.0,2.0,1982.0,Maison Individuelle,34159,10 Avenue Villeneuve les Maguelone 34110 Mireval,0.7097297297297298
8195,fB7crG_dS0ItB6MzpVY8Q,556.0,7.0,34.0,95.32,4.0,1948.0,Maison Individuelle,35310,Rue du Coglais 35133 Saint-Sauveur-des-Landes,5.832983634074696
8196,yVTD92IKDUkbrInoBA9jW,283.0,5.0,13.0,94.5,3.0,2003.0,Maison Individuelle,36141,Les Justices 36230 Neuvy-Saint-Sépulchre,2.994708994708995
8197,L5cmFJhZLPzeGyFMnSTeW,550.7,7.0,17.93,60.0,3.0,1948.0,Maison Individuelle,37072,8 Rue Porte de la Barre 37500 Chinon,9.178333333333335
8199,tajMvZWS3oX3zHtM6KTiW,383.38,6.0,23.13,77.7,4.0,1977.0,Maison Individuelle,39037,28 Rue des Meix 39380 Bans,4.934105534105534
8200,auIo1OFh_SPcxkO21aik5,257.0,5.0,5.0,117.0,1.0,1947.0,Maison Individuelle,40500,Chemin du Fray Campagne,2.1965811965811968
8201,CqKjUFqmkspEMk-eDeDc5,228.0,4.0,53.0,87.0,5.0,1947.0,Maison Individuelle,41130,Route de Lancôme 41500 Maves,2.6206896551724137
8203,WFl64vwjjh3sxQXd6_dmv,244.0,5.0,53.0,91.0,5.0,1948.0,Maison Individuelle,43230,9 Rue de l'Ecole 43800 Saint-Vincent,2.681318681318681
8209,LkE1BTlZFELA5fEKFUhGa,389.0,6.0,23.0,100.0,4.0,1974.0,Maison Individuelle,49007,15 Rue Dainville 49000 Angers,3.89
8210,h2B1_K33gIBim4sfwVvHz,234.0,5.0,34.0,50.23,4.0,1.0,Logement,50100,Residence la Bruneraie 50240 Saint-James,4.658570575353375
8212,pDMWGvpA3lHfJiS9CoLqG,197.74,4.0,14.08,173.0,3.0,1974.0,Maison Individuelle,52269,22 Rue Longe Porte 52200 Langres,1.1430057803468208
8213,Swiks-9hBwjSFA9tuWLZ0,70.0,2.0,3.0,160.45,1.0,1974.0,Maison Individuelle,53271,La Pinelliere 53700 Villaines-la-Juhel,0.4362729822374572
8214,ApmF7sUpnkimRcs75oxqo,340.0,6.0,79.0,150.0,6.0,1947.0,Maison Individuelle,54320,che de la rue 54700 Loisy,2.2666666666666666
8218,GLuqdwAogBTEZ0eBRzC64,422.23,6.0,75.03,96.0,6.0,1974.0,Maison Individuelle,58303,22 Rue Jean Zay 58640 Varennes-Vauzelles,4.398229166666667
8219,mztK-Q9w--RyKDXACya-R,610.95,7.0,35.85,21.47,4.0,1948.0,Logement,59350,39 Rue de Roubaix 59800 Lille,28.45598509548207
8220,bGUaOQZK8ck9aU1qWannR,162.0,4.0,37.0,170.0,5.0,1975.0,Maison Individuelle,60260,29 Rue des Carrières 60127 Fresnoy-la-Rivière,0.9529411764705882
8221,R8T3jtsEDJcbeWV2HZWYO,251.3,5.0,75.39,78.0,6.0,1982.0,Maison Individuelle,61002,La Besiree 61570 Almenêches,3.221794871794872
8222,7DH5dm_cZBlo2VWyqn3-Z,313.47,5.0,73.35,95.7,6.0,1940.0,Logement,62133,45 Rue Florent Evrard 62420 Billy-Montigny,3.275548589341693
